Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,Day Off,Day Off,4.8 km Easy Run,Day Off,6.4 km Easy Run,4.8 km Easy Run,Day Off
1,Day Off,Day Off,4.8 km Easy Run,Day Off,8 km Easy Run,3.2 km Easy Run,Day Off
1,Day Off,Day Off,4.8 km Easy Run,Day Off,8 km with 4.8 km at half marathon pace,Day Off,Day Off
1,Day Off,Day Off,4.8 km Easy Run,Day Off,9.7 km with 6.4 km at half marathon pace,Day Off,Day Off
1,Day Off,Day Off,6.4 km Easy Run,Day Off,4.8 km Easy Run,Day Off,Day Off
6,Day Off,Day Off,3.2 km Easy Run,Day Off,8 km with 4.8 km at half marathon pace,3.2 km Easy Run,Day Off
6,Day Off,Day Off,3.2 km Easy Run,Day Off,9.7 km with 6.4 km at half marathon pace,3.2 km Easy Run,Day Off
6,Day Off,Day Off,4.8 km Easy Run,Day Off,9.7 km with 6.4 km at half marathon pace,4.8 km Easy Run,Day Off
6,Day Off,Day Off,3.2 km Easy Run,Day Off,11.3 km with 8 km at half marathon pace,4.8 km Easy Run,Day Off
6,Day Off,Day Off,3.2 km Easy Run,Day Off,8 km with 4.8 km at half marathon pace,Day Off,Day Off
